No of bedrooms,No of bathrooms,living area,No of floors,waterfront present,No of views,house condition,house grade,Built Year,Renovation Year,Lattitude,Longitude,living_area_renov,Price,Total floor area,Total lot area
3,1.0,1290,1.0,0,0,4,6,1929,0,52.9251,-114.557,1220,450000,1290,10904
4,2.5,2692,2.0,0,0,3,9,2014,0,52.5819,-114.387,2574,436472,2692,22838
3,3.25,2210,2.0,0,0,3,8,1995,0,52.9331,-114.469,2010,429000,2210,10290
3,3.0,2700,2.0,0,0,4,9,1986,0,52.6746,-114.294,2260,420000,2700,92951
3,2.75,2300,1.0,0,0,3,7,1965,0,52.5593,-114.496,2070,420000,2300,18200
3,2.75,3900,2.0,0,0,3,6,1967,2008,52.7921,-114.114,2460,415000,3900,329314
4,2.5,2230,2.0,0,0,3,7,2002,0,52.9545,-114.147,2490,415000,2230,12043
4,1.75,1640,1.0,0,0,4,7,1968,0,52.9233,-114.306,1680,402000,1640,18150
3,1.0,1460,1.0,0,0,3,7,1952,0,52.6734,-114.537,2250,400000,1460,63023
3,2.5,2393,2.0,0,0,3,8,2012,0,52.6817,-114.394,2439,400000,2393,10265
4,3.0,3000,2.0,0,0,3,8,2003,0,52.5984,-114.263,2520,398950,3000,18663
2,1.0,930,1.0,0,0,3,6,1911,0,52.8243,-114.492,1670,390000,930,6900
4,2.5,2810,2.0,0,0,3,8,2003,0,52.5551,-114.376,1770,386000,2810,16137
3,1.75,1330,1.0,0,0,3,7,1969,0,52.9499,-114.37,1500,381000,1330,15216
3,2.5,1730,1.0,0,0,3,7,1991,0,52.6399,-114.519,2100,379260,1730,15327
4,2.25,1930,1.0,0,0,3,8,1960,0,52.9926,-114.502,1930,367500,1930,15125
3,2.0,1350,1.0,0,0,3,7,1977,0,52.8459,-114.24,1820,366000,1350,19800
3,2.5,1590,2.0,0,0,3,7,2000,0,52.7609,-114.066,1590,355000,1590,7944
3,2.25,1870,1.0,0,0,3,7,1975,0,52.964,-114.364,1830,350500,1870,15076
3,1.5,1320,1.0,0,0,3,6,1909,0,52.8531,-114.482,1350,350000,1320,8800
3,2.5,1580,2.0,0,0,3,8,2011,0,52.7744,-114.559,1580,349900,1580,4585
3,2.0,1140,1.0,0,0,3,7,1994,0,52.7291,-113.973,1140,340000,1140,20020
3,2.5,2440,2.0,0,0,3,8,1998,0,52.5794,-114.491,2510,335000,2440,15535
3,2.0,1700,1.0,0,0,3,7,1961,0,52.97,-114.529,1740,334500,1700,16341
2,1.0,1070,1.0,0,0,3,7,1947,0,52.9832,-114.508,1500,327000,1070,18525
2,1.0,1100,1.0,0,0,3,7,1980,0,53.0028,-114.09,1790,325000,1100,37826
2,2.5,1280,2.0,0,0,3,8,2006,0,52.9205,-114.554,1290,319950,1280,3719
4,2.5,2150,1.0,0,0,4,7,1979,0,52.7085,-114.35,1620,317500,2150,17400
4,2.5,1870,2.0,0,0,3,8,1992,0,52.6735,-114.464,2160,314000,1870,16562
3,2.5,2460,2.0,0,0,3,8,2002,0,52.602,-114.292,2740,305000,2460,10027
3,2.25,1450,2.0,0,0,3,7,1994,0,52.7338,-114.379,1650,297000,1450,15187
3,1.75,1440,1.0,0,0,4,7,1979,0,52.7629,-114.544,1560,295000,1440,8000
3,2.5,1560,2.0,0,0,3,8,1999,0,52.7209,-114.344,1310,292000,1560,5438
3,2.5,1670,2.0,0,0,4,7,1992,0,52.5788,-114.223,1370,290700,1670,12836
2,1.5,1076,3.0,0,0,3,7,2006,0,52.9467,-114.488,1076,290000,1076,2120
3,2.0,2860,1.0,0,0,3,9,1985,0,53.0018,-114.094,1460,289275,2860,37694
2,1.0,720,1.0,0,0,5,6,1951,0,52.7495,-114.564,810,280000,720,10000
3,1.5,1450,2.0,0,0,3,7,2011,0,52.5954,-114.211,1870,274000,1450,8892
3,1.75,1390,1.0,0,0,4,7,1978,0,52.6769,-113.962,1400,270000,1390,18697
4,2.5,2060,1.0,0,0,3,7,1968,0,52.6529,-114.343,1610,269950,2060,24214
3,1.0,1220,1.0,0,0,5,6,1959,0,52.4363,-114.213,1640,253500,1220,73978
2,1.0,770,1.0,0,0,3,6,1937,0,52.7812,-114.513,940,252500,770,7191
3,1.0,1100,1.0,0,0,3,7,1955,0,52.6674,-114.475,1300,233000,1100,15657
3,1.0,1370,1.0,0,0,3,7,1942,0,52.5358,-114.496,1768,229000,1370,65330
3,1.5,1200,1.0,0,0,3,6,1979,0,52.7422,-114.547,1440,229000,1200,7500
3,2.0,1230,2.0,0,0,3,7,2003,0,52.756,-114.551,1260,209000,1230,2652
3,1.0,1490,1.0,0,0,4,6,1963,0,52.536,-114.56,1200,205950,1490,13470
1,1.5,1048,1.0,0,0,3,7,1942,0,52.7059,-114.402,950,199950,1048,9600
3,1.0,1060,1.0,0,0,3,6,1962,0,52.5169,-114.55,1060,169500,1060,20046
2,1.0,900,1.0,0,0,2,6,1940,0,52.7587,-114.471,1350,140000,900,12805
4,3.25,7000,1.0,1,4,4,12,1991,0,52.8228,-114.276,4913,3200000,7000,42869
5,3.25,5210,2.5,0,4,5,10,1911,0,52.7763,-114.587,2590,2200000,5210,46015
4,4.5,4240,2.0,0,0,3,10,2004,0,52.8493,-114.419,3010,2190000,4240,25325
4,3.5,4610,2.0,0,2,3,11,2003,0,52.8808,-114.393,2340,1650000,4610,24038
3,2.5,3910,2.0,0,0,3,10,1999,0,52.8674,-114.31,2280,961500,3910,28000
4,3.0,3140,1.0,0,0,3,9,1989,0,52.7762,-114.344,2760,946000,3140,19076
4,1.75,2710,1.0,0,0,4,9,1976,0,52.791,-114.343,2640,925000,2710,22400
4,2.5,3210,2.0,0,0,3,10,1998,0,52.855,-114.334,2950,915000,3210,15285
3,1.5,2420,2.0,0,0,4,8,1925,0,52.9044,-114.543,2070,870000,2420,10000
3,2.25,1950,1.5,0,0,5,8,1911,0,52.867,-114.553,1950,850000,1950,7200
4,2.75,2400,1.0,0,2,4,8,1958,0,52.8161,-114.302,2400,839000,2400,22869
2,1.0,1450,1.0,0,4,3,7,1924,0,52.86,-114.539,2390,822500,1450,13196
4,3.5,4170,2.0,0,0,3,9,2005,0,52.8436,-114.231,2970,810000,4170,9244
3,2.25,1860,3.0,0,0,3,9,2014,0,52.8668,-114.469,1680,799950,1860,4466
4,3.5,2720,2.0,0,0,3,9,2014,0,52.7671,-114.578,1600,790000,2720,7600
2,0.75,1260,1.5,0,2,4,6,1942,0,52.9143,-114.402,2660,785000,1260,12000
1,1.0,1180,1.5,0,2,4,8,1910,0,52.7861,-114.456,1420,713000,1180,8000
4,2.5,2780,2.0,0,0,3,8,2001,0,52.8276,-114.229,2670,690000,2780,10645
3,2.5,2250,2.0,0,0,3,9,2004,0,52.8951,-114.274,2390,675000,2250,8268
3,3.5,2480,2.0,0,0,3,8,1998,0,52.8383,-114.25,2380,640000,2480,22110
4,1.75,1830,1.0,0,0,4,7,1939,0,52.8836,-114.6,1540,639000,1830,12000
5,1.75,1880,1.0,0,0,4,7,1955,0,52.8359,-114.344,2180,618000,1880,38969
3,1.0,1440,1.5,0,0,3,8,1929,0,52.9147,-114.562,1640,600000,1440,8800
4,2.25,2050,2.0,0,0,4,8,1984,0,52.9534,-114.297,2010,595000,2050,16409
4,2.5,2340,2.0,0,0,3,9,1987,0,52.7979,-114.201,2510,590000,2340,18190
4,1.75,1920,1.0,0,0,5,7,1919,0,52.8047,-114.574,1840,589000,1920,213514
3,3.0,1720,3.0,0,0,3,8,2006,0,52.878,-114.548,1720,589000,1720,2248
5,2.75,3160,2.0,0,0,3,10,1978,0,52.9777,-114.407,3120,540000,3160,21616
3,2.25,2130,2.0,0,0,3,8,1977,0,52.8771,-114.304,2130,534950,2130,22444
3,2.25,2240,1.0,0,0,3,7,1979,0,52.9334,-114.505,1390,527000,2240,12900
3,1.75,1710,1.0,0,0,4,8,1966,0,52.853,-114.295,1820,522500,1710,18407
2,1.0,1640,1.0,0,0,4,7,1954,0,52.8012,-114.333,1520,500000,1640,27627
5,3.5,2815,2.0,0,0,3,9,2011,0,52.5724,-114.369,2798,491000,2815,9800
3,1.0,1270,1.0,0,0,4,6,1959,0,52.8475,-114.308,1210,475000,1270,15875
2,1.0,1050,1.0,0,3,5,6,1905,0,52.4521,-114.249,1760,474000,1050,512265
5,2.5,2970,1.0,0,0,4,8,1969,0,52.6208,-114.363,2100,469500,2970,46562
4,2.25,3360,2.0,0,0,4,9,1988,0,52.5616,-114.393,2590,465000,3360,21620
2,1.5,1220,2.5,0,0,3,8,2008,0,52.8674,-114.578,2010,465000,1220,4295
3,2.5,1600,2.0,0,0,3,7,1987,0,52.9588,-114.417,1580,455000,1600,16933
4,3.0,2800,2.0,0,0,3,8,2002,0,52.5838,-114.203,3610,444000,2800,15043
3,2.5,1930,1.0,0,0,4,7,1961,0,53.0015,-114.53,1600,432500,1930,15472
3,1.0,1320,1.0,0,0,4,7,1959,0,52.8431,-114.313,1510,425000,1320,16076
3,2.0,2020,1.0,0,0,4,7,1975,0,52.6882,-114.213,2110,420000,2020,74922
3,2.5,2060,1.0,0,0,4,8,1967,0,52.9875,-114.554,2150,420000,2060,15420
2,1.0,1070,1.0,0,0,3,6,1940,0,52.7998,-114.567,1770,406650,1070,11795
2,1.0,1090,1.0,0,0,2,7,1981,0,52.862,-114.22,1160,405000,1090,21014
4,1.0,1060,1.0,0,0,3,6,1904,0,52.8862,-114.579,1790,403504,1060,11607
4,2.5,3140,2.0,0,0,4,8,1977,0,52.6455,-114.353,1910,401500,3140,108825
4,1.75,1810,2.0,0,0,4,7,1977,0,52.9981,-114.501,1570,400000,1810,19750
3,1.5,1360,2.0,0,0,3,7,2003,0,52.8826,-114.574,1360,396500,1360,3061
4,2.75,1790,1.0,0,0,3,7,1987,0,52.7602,-113.936,1250,390000,1790,91041
4,2.75,2500,1.0,0,1,3,8,1975,0,52.5664,-114.511,2370,390000,2500,25345
3,1.75,2160,1.5,0,0,4,7,1928,0,52.8029,-114.505,1590,385000,2160,8863
4,2.5,2370,2.0,0,0,3,8,1966,0,52.694,-114.382,1590,383000,2370,19164
5,2.75,3060,2.0,0,0,3,8,2003,0,52.6109,-114.288,2590,381000,3060,13790
4,2.5,2500,1.0,0,2,4,8,1964,0,52.566,-114.524,2500,380000,2500,22140
4,2.5,2300,2.0,0,0,3,8,2004,0,52.5797,-114.234,2320,380000,2300,13742
3,2.0,1670,1.0,0,0,3,8,1968,0,52.7173,-113.973,2130,375000,1670,28275
4,1.75,1940,1.0,0,0,3,8,1974,0,52.9878,-114.284,1940,375000,1940,31029
4,2.5,1790,2.0,0,0,3,7,2005,0,52.7129,-114.318,1950,370500,1790,11780
5,1.75,2810,1.0,0,0,4,7,1965,0,52.6661,-114.383,1770,368500,2810,18720
4,2.5,2470,1.0,0,0,3,7,1985,0,52.6092,-114.237,1670,352000,2470,13743
4,2.5,2260,1.0,0,0,4,9,1975,0,52.6067,-114.351,2650,350000,2260,27405
6,3.25,2120,1.0,0,0,4,7,1983,0,52.7808,-114.545,1380,330000,2120,13879
3,1.75,1340,1.0,0,0,4,7,1961,0,52.9507,-114.412,2950,330000,1340,12535
3,2.25,1500,1.0,0,0,3,7,1989,0,52.9627,-114.172,1690,329500,1500,19312
2,1.0,830,1.0,0,0,5,6,1950,0,52.9666,-114.492,1180,327500,830,16367
4,2.5,1630,2.0,0,0,3,7,1999,0,52.8004,-114.484,1920,327000,1630,10407
3,2.5,1782,3.0,0,0,3,7,2000,0,52.9414,-114.491,1550,326000,1782,3321
4,2.5,1960,2.0,0,0,3,7,2004,0,52.7149,-114.374,2420,325000,1960,7189
2,1.0,1400,1.0,0,0,4,7,1974,0,53.0026,-114.4,1560,325000,1400,22080
4,2.25,2190,2.0,0,0,3,8,1978,0,52.6042,-114.474,2170,320000,2190,17420
4,2.5,2070,2.0,0,0,3,7,1996,0,52.6268,-114.361,2130,320000,2070,15107
3,2.25,1900,2.0,0,0,4,7,1992,0,52.5795,-114.227,1520,316000,1900,14038
4,2.5,2080,1.0,0,0,3,7,1950,0,52.7407,-114.447,1270,315000,2080,11300
4,2.5,2007,2.0,0,0,3,9,2009,0,52.5601,-114.381,2189,305950,2007,10820
4,2.25,2050,2.0,0,0,4,7,1978,0,52.5515,-114.394,1620,305000,2050,19981
4,1.75,2340,1.0,0,0,3,8,1960,0,52.727,-114.559,1970,290000,2340,15000
4,2.25,2100,2.0,0,0,3,8,1978,0,52.6691,-114.383,2190,283500,2100,15750
3,2.5,1370,2.0,0,0,3,7,1993,0,52.6769,-113.965,1580,280000,1370,33246
3,1.5,1780,1.0,0,0,2,7,1960,0,52.649,-114.512,1860,279000,1780,25775
3,2.25,1400,2.0,0,0,3,7,2012,0,52.5896,-114.272,2110,270000,1400,7650
4,1.75,1670,1.0,0,0,4,8,1974,0,52.5493,-114.573,1720,268500,1670,16000
5,3.5,2390,2.0,0,0,5,7,1977,0,52.6037,-114.305,1140,267500,2390,13200
3,2.0,1850,1.0,0,0,3,7,1992,0,52.8865,-114.102,1528,265000,1850,29830
3,1.0,1660,1.0,0,0,3,7,1957,0,52.7421,-114.358,1380,261000,1660,22075
3,1.0,1250,1.0,0,0,4,6,1972,0,52.725,-114.344,1590,255000,1250,19072
3,1.0,1100,1.0,0,0,3,7,1949,0,52.9693,-114.515,1440,241450,1100,16269
3,2.0,1210,1.0,0,0,4,7,1985,0,52.6397,-114.383,1560,237000,1210,13834
2,2.5,1360,2.0,0,0,3,6,2003,0,52.5792,-114.215,1360,225000,1360,5386
3,1.5,1660,1.0,0,0,3,7,1962,0,52.7262,-114.51,1770,225000,1660,15304
3,2.25,1430,2.0,0,0,3,7,1987,0,52.5416,-114.548,1600,221000,1430,11998
3,1.5,1200,1.0,0,0,3,7,1986,0,52.498,-114.435,1200,219000,1200,21405
2,1.0,1010,1.0,0,0,4,6,1944,0,53.001,-114.543,1610,215000,1010,13313
2,1.0,820,1.0,0,0,5,6,1955,0,52.7598,-114.461,1240,207000,820,10860
3,2.0,1390,1.0,0,0,3,7,1980,0,52.4875,-114.495,1790,190500,1390,20310
2,1.5,1400,1.0,0,0,3,7,1982,0,52.5215,-114.558,1450,190000,1400,16689
2,1.0,900,1.0,0,0,4,6,1954,0,52.6517,-114.507,1240,185000,900,16000
2,1.0,670,1.0,0,0,3,6,1926,0,52.7687,-114.561,850,183000,670,10280
3,1.0,1040,1.0,0,0,4,6,1954,0,52.6506,-114.506,1270,172500,1040,15500
4,3.25,3800,2.0,0,0,3,10,1969,2009,52.7984,-114.38,3940,2400000,3800,38773
4,2.75,3670,2.0,0,3,4,10,1986,0,52.7881,-114.346,3370,1220000,3670,28700
4,2.75,3950,2.0,0,0,5,8,1960,0,52.7789,-114.409,2350,1050000,3950,25347
4,4.5,3180,2.0,0,3,4,9,1929,0,52.8702,-114.595,2110,1050000,3180,9929
3,2.5,2700,2.0,0,3,3,9,2013,0,52.7472,-114.398,2500,950000,2700,13894
4,2.0,1710,1.5,0,0,4,8,1926,0,52.8673,-114.49,1760,895000,1710,8356
4,2.5,3070,1.0,0,0,5,8,1958,0,52.8235,-114.362,2270,880000,3070,17050
3,2.5,3210,2.0,0,0,4,10,1990,0,52.9239,-114.379,2630,870000,3210,14044
3,2.0,3120,1.0,0,0,5,9,1978,0,52.7912,-114.34,2770,855000,3120,18900
4,3.0,3310,2.5,0,0,5,9,1900,0,52.8894,-114.535,1440,829000,3310,8250
3,2.75,3040,2.0,0,0,4,10,1987,0,52.9408,-114.415,2770,825000,3040,29920
2,1.75,2110,1.0,0,4,4,9,1960,0,52.7212,-114.555,2120,802000,2110,18200
2,1.0,1050,1.0,0,0,4,7,1951,0,52.8594,-114.405,3360,800000,1050,28865
4,2.75,3350,2.0,0,0,3,9,2014,0,52.9149,-114.206,3625,790500,3350,11053
4,2.75,2840,1.0,0,3,4,9,1961,0,52.7571,-114.576,2790,790000,2840,21970
4,2.75,2740,1.5,0,3,4,8,1947,0,52.9384,-114.467,2430,775000,2740,12200
4,2.5,2500,1.0,0,0,4,7,1958,0,52.8373,-114.382,2140,772000,2500,17360
3,2.75,2250,2.5,0,0,4,9,1909,1991,52.8333,-114.477,2060,765000,2250,14580
3,2.25,2250,2.0,0,0,4,8,1975,0,52.9041,-114.461,2240,750000,2250,12501
3,3.75,2460,1.0,0,0,5,8,1976,0,52.9447,-114.563,2000,750000,2460,14956
4,3.0,3350,2.0,0,0,3,10,2004,0,52.5902,-114.178,3350,740000,3350,383150
4,2.5,2450,1.0,0,0,3,8,1958,0,52.8031,-114.402,2450,715000,2450,15700
3,2.5,2580,2.0,0,0,3,9,2006,0,52.8501,-114.215,2480,698000,2580,9136
5,2.75,3600,2.0,0,0,3,9,2014,0,52.7122,-114.321,3550,679950,3600,18858
4,1.75,2000,1.0,0,0,4,7,1949,0,52.9098,-114.581,1540,595000,2000,10200
3,2.0,1850,1.0,0,0,4,7,1940,0,52.927,-114.512,1430,547500,1850,15950
3,2.5,1900,2.0,0,0,3,9,1996,0,52.8979,-114.374,2500,545000,1900,7320
3,2.0,1560,1.5,0,0,3,7,1910,2007,52.8698,-114.546,1240,539950,1560,6800
3,2.75,1320,3.0,0,0,3,8,2008,0,52.8898,-114.538,1320,535000,1320,2391
4,1.75,1990,1.0,0,0,4,8,1968,0,52.7734,-114.356,2090,524400,1990,25800
4,2.5,2280,2.0,0,0,4,8,1987,0,52.9771,-114.437,2180,520000,2280,17430
4,2.5,2560,2.0,0,1,3,8,2005,0,52.7522,-114.391,2190,518000,2560,12460
3,1.0,1270,1.0,0,0,4,7,1957,0,52.8174,-114.326,1470,510500,1270,16000
3,2.75,1560,1.0,0,0,3,7,1978,0,52.9995,-114.316,2210,500000,1560,118985
3,2.5,1460,2.0,0,0,3,8,2007,0,52.9081,-114.564,1380,499000,1460,3016
3,2.0,2370,2.0,0,0,4,7,1970,0,52.9034,-114.366,1380,490000,2370,24392
5,3.5,3530,2.0,0,0,3,7,1999,0,52.9609,-114.095,2110,487500,3530,429876
6,2.5,3300,1.0,0,0,3,8,1980,0,52.7416,-114.353,2060,484000,3300,22246
2,1.75,1170,1.0,0,0,4,6,1924,0,52.9142,-114.549,1240,480000,1170,8755
3,1.75,2790,1.0,0,0,4,8,1970,0,52.7034,-114.189,1900,478000,2790,81887
3,1.0,1380,1.0,0,0,4,6,1919,0,52.8,-114.475,1790,475000,1380,9270
3,2.5,2160,2.0,0,0,3,8,1982,0,52.9573,-114.273,2230,475000,2160,71156
3,1.0,1170,1.0,0,0,3,7,1951,0,52.8884,-114.581,1240,470000,1170,8800
4,2.5,1990,2.0,0,0,3,8,1998,0,52.9978,-114.462,2220,470000,1990,41710
4,2.25,2140,1.0,0,0,4,7,1977,0,52.9513,-114.361,2130,465000,2140,15751
3,2.5,1670,2.0,0,0,3,8,2000,0,52.7614,-114.237,1670,450000,1670,5486
3,1.75,1780,1.0,0,0,3,7,1980,0,52.9614,-114.415,1910,442573,1780,16212
6,3.5,2400,2.0,0,0,3,8,1987,0,52.9452,-114.352,1940,435000,2400,15970
3,2.0,1380,1.0,0,0,3,7,1986,0,52.9053,-114.553,1630,435000,1380,6300
3,1.75,1150,1.0,0,0,3,7,1957,0,52.8348,-114.311,1650,415950,1150,15700
1,1.0,760,1.0,0,0,3,7,1900,0,52.8359,-114.493,1270,415000,760,6000
3,2.5,1950,2.0,0,0,3,7,2007,0,52.7494,-114.059,2190,409000,1950,13163
3,3.0,1500,2.0,0,0,3,8,2000,0,52.8363,-114.495,1720,408000,1500,3449
4,2.5,2927,2.0,0,0,3,7,2011,0,52.6037,-114.35,2533,407000,2927,12000
2,2.5,1590,2.0,0,0,3,8,2012,0,52.7749,-114.201,1590,395825,1590,3359
2,1.5,940,1.0,0,0,4,7,1925,0,52.7675,-114.564,940,392000,940,10026
3,2.0,2360,2.0,0,0,3,8,2003,0,52.9933,-114.452,1600,390000,2360,14900
3,1.75,1800,1.0,0,0,3,8,1968,0,52.6706,-114.336,1800,385000,1800,36000
2,2.0,1370,1.0,0,0,3,8,1986,0,52.944,-114.395,1380,380000,1370,11200
6,2.5,2420,1.0,0,2,4,7,1965,0,52.6759,-114.468,1630,376000,2420,23324
4,2.25,2100,2.0,0,0,4,8,1975,0,52.6998,-114.308,2000,375000,2100,24828
4,2.25,1920,1.0,0,0,4,8,1968,0,52.6844,-114.333,1890,372500,1920,17460
3,1.75,1750,1.0,0,0,4,7,1951,0,52.6835,-114.551,2030,368000,1750,25200
3,1.75,2290,1.0,0,0,4,7,1950,0,52.9911,-114.541,1660,367950,2290,15434
3,1.75,2000,1.0,0,3,4,7,1965,0,52.5879,-114.636,1580,367000,2000,24724
5,2.75,3260,2.0,0,0,3,8,2004,0,52.5974,-114.26,2770,365000,3260,17320
3,2.0,1320,3.0,0,0,3,7,1995,0,52.9259,-114.566,1380,350000,1320,2801
3,2.0,1680,1.0,0,0,3,7,1991,0,52.5548,-114.369,2480,350000,1680,41137
2,1.75,1660,2.0,0,0,3,7,1958,1992,52.7199,-114.529,1290,335000,1660,19297
4,2.5,2080,1.0,0,0,4,8,1989,0,52.6552,-114.353,2090,330000,2080,14082
3,2.0,1760,1.0,0,0,3,7,1988,0,52.5865,-114.13,1760,322000,1760,89613
5,2.5,3220,2.0,0,0,3,8,2002,0,52.6017,-114.294,2740,315000,3220,11251
4,1.75,1880,1.0,0,0,3,7,1976,0,52.5572,-114.553,1980,310000,1880,21830
1,1.0,1120,1.5,0,0,3,7,1950,0,52.7423,-114.521,2330,309950,1120,21090
4,1.75,1000,1.5,0,0,4,6,1947,0,52.972,-114.514,1280,305000,1000,14400
4,2.5,2510,1.0,0,0,3,8,1977,0,52.5386,-114.574,2210,305000,2510,20320
3,1.75,2100,1.0,0,0,3,7,1983,0,52.5224,-114.461,1330,299000,2100,31137
3,1.0,960,1.0,0,0,3,7,1955,0,53.0063,-114.495,1080,299000,960,177548
3,2.5,1690,1.0,0,0,3,7,1997,0,52.7264,-114.543,1900,285000,1690,14762
1,1.75,1010,1.0,0,0,4,6,1968,0,52.9691,-114.172,1410,283700,1010,19259
4,2.25,2400,1.5,0,0,3,8,1964,0,52.6862,-114.52,2170,278000,2400,16190
2,1.75,2090,1.0,0,0,5,7,1931,0,52.6894,-114.469,1940,275000,2090,22634
3,1.5,1740,1.0,0,0,4,7,1962,0,52.6775,-114.403,1780,269950,1740,19483
3,1.75,2120,1.0,0,0,3,7,1961,0,52.681,-114.463,2050,249000,2120,36668
4,2.25,2080,1.0,0,0,4,7,1985,0,52.6062,-114.373,1200,231500,2080,15026
4,1.0,1150,1.5,0,0,3,6,1907,0,52.792,-114.473,840,225000,1150,9030
3,1.75,1070,1.0,0,0,3,7,1994,0,52.5429,-114.213,1280,224400,1070,14400
3,1.0,1150,1.0,0,0,3,7,1959,0,52.9644,-114.523,1200,221000,1150,15148
3,2.25,1470,1.0,0,0,3,7,1985,0,52.5025,-114.49,1720,220000,1470,15818
3,1.75,1310,1.0,0,0,4,6,1984,0,52.5456,-114.376,2622,216000,1310,15861
3,1.0,1430,1.0,0,0,3,6,1968,0,52.5318,-114.559,1050,213950,1430,14700
3,1.0,860,1.0,0,0,3,6,1960,0,52.7206,-114.434,980,207000,860,14940
5,2.5,1720,1.5,0,0,3,7,1970,0,52.6872,-114.357,1720,206325,1720,18680
2,1.0,880,1.0,0,0,4,6,1916,0,52.7631,-114.542,1430,199400,880,8000
3,1.75,1320,1.0,0,0,4,7,1956,0,52.5557,-114.486,1550,199000,1320,36655
3,1.0,920,1.0,0,0,4,6,1969,0,52.5903,-114.275,920,179000,920,10400
5,2.25,2800,2.0,1,4,3,9,1963,2001,52.8084,-114.266,3220,1850000,2800,17598
3,3.25,4160,3.0,0,2,3,12,2001,0,52.8049,-114.404,3290,1700000,4160,46686
5,3.75,4960,2.0,0,2,3,11,2001,0,52.7791,-114.327,5200,1360000,4960,32106
5,4.0,2710,3.0,0,0,3,10,1974,2008,52.8646,-114.554,1530,1200000,2710,6400
5,2.75,2910,1.0,0,0,5,9,1972,0,52.7996,-114.373,2880,1170000,2910,30371
10,5.25,4590,1.0,0,2,3,9,2008,0,52.8161,-114.303,2730,1150000,4590,21320
3,3.0,3700,1.0,0,0,3,10,2000,0,52.9256,-114.582,2320,1100000,3700,28857
4,2.75,3430,1.0,0,4,3,11,2005,0,52.7664,-114.046,4080,1010000,3430,30454
3,2.25,2390,2.0,0,0,3,8,1941,1998,52.8915,-114.466,2280,980000,2390,9769
6,3.0,3420,1.0,0,0,5,9,1948,0,52.7808,-114.379,2430,975000,3420,37981
4,2.5,2790,2.0,0,0,4,10,1964,0,52.7777,-114.405,3520,950000,2790,31306
4,2.5,3680,2.0,0,0,3,10,1986,0,52.7904,-114.297,2830,909000,3680,22899
4,2.5,3690,2.0,0,0,3,11,1987,0,52.7999,-114.282,3370,900000,3690,19258
4,3.5,3210,3.0,0,0,3,9,2014,0,52.7503,-114.583,1360,889000,3210,10000
6,3.25,2820,2.0,0,0,4,8,1917,0,52.8988,-114.499,2820,875000,2820,9072
3,2.25,2520,2.0,0,2,5,8,1944,1990,52.8005,-114.571,1990,835000,2520,12482
3,1.75,1850,1.5,0,0,3,8,1913,1999,52.8828,-114.591,1540,819000,1850,12000
5,1.75,1930,2.0,0,0,3,7,1930,0,52.8594,-114.101,1710,800000,1930,588496
4,3.5,3310,2.0,0,0,3,9,2010,0,52.9254,-114.212,3320,785000,3310,10805
4,2.5,2750,2.0,0,0,3,9,1989,0,52.8143,-114.25,2810,763776,2750,29232
4,3.0,2840,1.0,0,2,4,9,1974,0,52.9453,-114.447,2840,760000,2840,22500
7,3.75,2310,2.0,0,0,3,8,1984,0,52.9081,-114.566,1360,727160,2310,6552
4,3.0,3400,2.0,0,0,3,10,1998,0,52.7183,-113.915,1760,688000,3400,362419
4,2.5,2650,1.0,0,2,3,9,1954,0,52.9837,-114.563,3020,685000,2650,48383
3,2.5,2300,2.0,0,2,3,9,1998,0,52.7804,-114.267,2730,683000,2300,19148
5,2.75,2760,2.0,0,0,3,9,2005,0,52.769,-114.378,2870,682000,2760,10030
8,2.75,2530,2.0,0,0,4,7,1901,0,52.8541,-114.495,1540,680000,2530,9600
3,2.5,2770,2.0,0,3,3,8,1957,2000,52.7553,-114.391,2660,679000,2770,19045
5,2.75,2160,1.5,0,0,5,7,1927,0,52.897,-114.479,2040,671500,2160,8000
5,2.5,2560,2.0,0,0,3,8,1995,0,52.9425,-114.105,2430,655000,2560,93715
4,2.25,1960,2.0,0,0,4,8,1973,0,52.8649,-114.286,1960,610000,1960,18996
4,3.5,2160,2.0,0,0,3,8,1998,0,52.8403,-114.487,1230,601000,2160,7440
4,2.25,2270,1.0,0,0,5,8,1974,0,52.7899,-114.332,2270,596000,2270,20148
4,1.75,2410,2.0,0,3,4,8,1936,1980,52.8799,-114.278,2520,550000,2410,23236
4,2.0,2100,1.0,0,0,4,7,1958,0,52.8415,-114.314,1280,548000,2100,17982
4,2.5,1850,2.0,0,0,3,8,1985,0,52.9214,-114.293,1830,540000,1850,15990
4,1.75,1630,1.0,0,0,5,7,1918,0,52.9121,-114.5,1630,540000,1630,10200
4,1.75,2260,1.0,0,2,3,8,1971,0,52.8855,-114.276,2980,540000,2260,39000
3,2.5,3150,2.0,0,0,3,9,2006,0,52.8755,-114.091,2280,530000,3150,43779
6,3.0,2880,2.0,0,0,3,7,1980,0,52.8259,-114.49,1470,525000,2880,9375
3,2.25,1810,1.0,0,0,3,8,1984,0,52.8558,-114.228,1740,507000,1810,17690
3,2.5,3040,2.0,0,0,3,9,2008,0,52.6772,-114.397,3040,500000,3040,10768
3,2.25,2990,2.0,0,0,3,9,1994,0,52.984,-114.132,2840,500000,2990,431679
5,1.75,2460,1.0,0,0,3,7,1972,0,52.9752,-114.414,2028,485000,2460,25178
